3(L)                        494_bus    494 | 5.366e+07 3.785e+07 (J: 6.374e+07) 1.417781 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_10    430 | 5.827e+07 5.820e+07 (J: 1.423e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_11    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_12    430 | 5.827e+07 5.826e+07 (J: 1.423e+08) 1.000132 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_13    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_14    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_15    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_16    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_17    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_18    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_19    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_21    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_22    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_23    430 | 5.827e+07 5.826e+07 (J: 1.424e+08) 1.000132 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_24    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_27    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_28    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_29    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_31    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_32    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_33    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_34    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_35    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_36    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_37    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_38    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_40    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_42    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_45    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_48    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_49    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_50    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_51    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_52    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_53    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_54    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_55    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_56    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_57    430 | 5.827e+07 5.820e+07 (J: 1.424e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     Harvard500    500 | 1.830e+07 1.675e+07 (J: 9.449e+07) 1.092281 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         lap_25     25 | 2.786e+07 2.437e+07 (J: 2.985e+07) 1.142895 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        rajat05    301 | 1.466e+07 1.317e+06 (J: 5.248e+06) 11.131260 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        rajat11    135 | 7.500e+07 9.079e+05 (J: 3.267e+06) 82.603702 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        rajat14    180 | 5.543e+07 1.571e+06 (J: 7.485e+06) 35.272709 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        Hamrle1     32 | 4.796e+07 3.336e+05 (J: 5.875e+05) 143.794959 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          robot    120 | 4.407e+07 1.020e+04 (J: 1.204e+04) 4322.714884 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         rotor1    100 | 3.726e+07 1.869e+06 (J: 2.374e+06) 19.930115 T: 0.000000 || -1.000(-1) -1.000 
1(L)                           LF10     18 | 5.170e+07 4.958e+04 (J: 6.238e+04) 1042.697775 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          LFAT5     14 | 5.232e+07 5.232e+07 (J: 3.427e+01) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         Cities     46 | 4.291e+04 1.275e+04 (J: 1.996e+04) 3.365124 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        divorce      9 | 3.760e+02 1.794e+02 (J: 4.251e+02) 2.095861 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       Erdos971    472 | 1.551e+07 5.381e+05 (J: 2.309e+06) 28.829774 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       Erdos981    485 | 8.499e+06 3.420e+05 (J: 1.411e+06) 24.849820 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       Erdos991    492 | 1.629e+07 4.909e+05 (J: 1.898e+06) 33.189844 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       football     35 | 2.949e+07 2.832e+05 (J: 6.804e+05) 104.109786 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         GD00_a    352 | 2.508e+07 3.000e+06 (J: 6.857e+06) 8.359381 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         GD01_a    311 | 1.366e+07 3.108e+06 (J: 8.453e+06) 4.395643 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD01_b     18 | 5.560e+06 3.200e+06 (J: 3.701e+06) 1.737506 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD01_c     33 | 2.196e+07 1.633e+07 (J: 2.732e+07) 1.345093 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         GD02_a     23 | 3.395e+07 7.173e+06 (J: 2.294e+07) 4.732511 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         GD02_b     80 | 1.332e+07 5.651e+06 (J: 9.786e+06) 2.357876 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         GD95_a     36 | 1.267e+07 5.952e+06 (J: 1.001e+07) 2.128303 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD95_b     73 | 2.298e+07 1.856e+07 (J: 2.752e+07) 1.238058 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD95_c     62 | 2.651e+03 1.348e+03 (J: 2.033e+03) 1.966283 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         GD96_b    111 | 7.440e+07 4.000e+06 (J: 5.630e+06) 18.600872 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD96_c     65 | 1.715e+07 1.190e+07 (J: 1.496e+07) 1.441183 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD96_d    180 | 1.200e+07 1.200e+07 (J: 2.293e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD97_a     84 | 1.574e+07 1.432e+07 (J: 1.587e+07) 1.098856 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         GD97_b     47 | 3.079e+07 8.797e+05 (J: 2.226e+06) 34.999842 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         GD98_b    121 | 8.121e+06 3.000e+06 (J: 7.573e+06) 2.706762 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD98_c    112 | 9.000e+06 8.000e+06 (J: 9.000e+06) 1.124998 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD99_b     64 | 1.586e+07 1.583e+07 (J: 1.783e+07) 1.001776 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GD99_c    105 | 7.112e+06 5.980e+06 (J: 9.988e+06) 1.189269 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        GlossGT     72 | 2.923e+07 3.664e+01 (J: 4.711e+01) 797777.481027 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       Ragusa16     24 | 2.873e+07 1.965e+06 (J: 4.607e+06) 14.617764 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       Ragusa18     23 | 4.879e+07 5.238e+06 (J: 9.244e+06) 9.314797 T: 0.000000 || -1.000(-1) -1.000 
1(L)                  Sandi_authors     86 | 2.441e+07 1.420e+06 (J: 3.801e+06) 17.187945 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    Sandi_sandi    360 | 1.641e+07 1.456e+07 (J: 2.865e+07) 1.127050 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         SmallW    396 | 8.277e+06 7.197e+06 (J: 2.307e+07) 1.150138 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      Stranke94     10 | 2.676e+03 2.339e+03 (J: 2.444e+03) 1.144141 T: 0.000000 || -1.000(-1) -1.000 
2(L)                    Tina_AskCal     11 | 1.257e+07 4.445e+06 (J: 6.519e+06) 2.828255 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    Tina_AskCog     11 | 3.914e+02 2.427e+02 (J: 2.900e+02) 1.612952 T: 0.000000 || -1.000(-1) -1.000 
1(L)                    Tina_DisCal     11 | 2.291e+07 2.018e+02 (J: 2.855e+02) 113555.146868 T: 0.000000 || -1.000(-1) -1.000 
2(L)                    Tina_DisCog     11 | 2.707e+07 1.267e+07 (J: 2.163e+07) 2.135969 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        USAir97    332 | 8.933e+06 3.113e+05 (J: 7.933e+05) 28.693050 T: 0.000000 || -1.000(-1) -1.000 
2(L)                    WorldCities    100 | 4.356e+03 1.020e+03 (J: 1.525e+03) 4.270383 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         rdb200    200 | 1.191e+05 6.547e+04 (J: 7.544e+04) 1.819383 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        rdb200l    200 | 1.760e+04 1.357e+04 (J: 1.416e+04) 1.296461 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         rdb450    450 | 4.695e+05 2.508e+05 (J: 2.886e+05) 1.871657 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        rdb450l    450 | 4.395e+04 2.760e+04 (J: 2.882e+04) 1.592493 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        tols340    340 | 7.624e+07 3.353e+04 (J: 2.349e+05) 2274.021886 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         tols90     90 | 4.323e+07 6.503e+04 (J: 4.833e+05) 664.799355 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       gams10am    171 | 8.804e+06 8.733e+06 (J: 1.122e+07) 1.008116 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           farm     17 | 3.835e+07 3.412e+07 (J: 6.213e+07) 1.124078 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        gams10a    171 | 8.804e+06 8.734e+06 (J: 1.137e+07) 1.008021 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          p0033     48 | 1.554e+07 1.539e+07 (J: 2.802e+07) 1.009522 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          p0201    334 | 5.041e+06 4.153e+06 (J: 5.636e+07) 1.213840 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         refine     62 | 3.419e+07 3.155e+06 (J: 7.113e+06) 10.835084 T: 0.000000 || -1.000(-1) -1.000 
1(L)                            zed    142 | 2.064e+07 8.389e+05 (J: 1.969e+06) 24.605023 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        kleemin     16 | 4.640e+07 1.837e+06 (J: 3.978e+06) 25.251567 T: 0.000000 || -1.000(-1) -1.000 
1(L)                     Chebyshev1    261 | 4.901e+07 2.200e+05 (J: 4.092e+05) 222.768998 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      Maragal_1     14 | 3.520e+07 2.237e+07 (J: 3.125e+07) 1.573444 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       bibd_9_5    126 | 1.944e+07 1.944e+07 (J: 1.944e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      bibd_11_5    462 | 1.273e+07 1.273e+07 (J: 1.273e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      bibd_12_4    495 | 1.500e+07 1.500e+07 (J: 1.500e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      bibd_15_3    455 | 1.300e+07 1.300e+07 (J: 1.300e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
1(L)                      CAG_mat72     72 | 1.212e+07 1.898e+06 (J: 2.485e+06) 6.383858 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           TF10    107 | 2.582e+07 2.213e+07 (J: 4.054e+07) 1.166444 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           TF11    236 | 2.087e+07 1.932e+07 (J: 3.385e+07) 1.079951 T: 0.000000 || -1.000(-1) -1.000 
2(L)                          IG5-6     77 | 1.221e+07 4.285e+06 (J: 6.447e+06) 2.849246 T: 0.000000 || -1.000(-1) -1.000 
2(L)                          IG5-7    150 | 1.377e+07 3.571e+06 (J: 4.883e+06) 3.855485 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          IG5-8    292 | 7.668e+06 7.368e+05 (J: 1.040e+06) 10.406952 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        GL6_D_6    201 | 1.688e+07 1.748e+05 (J: 2.323e+05) 96.548127 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       GL6_D_10    341 | 3.541e+06 3.195e+06 (J: 1.099e+07) 1.108252 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         GL7d10     60 | 4.300e+07 2.344e+07 (J: 5.358e+07) 1.834320 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       ch3-3-b1      9 | 6.000e+06 6.000e+06 (J: 6.000e+06) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       ch4-4-b3     96 | 4.000e+06 4.000e+06 (J: 4.000e+06) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       ch5-5-b1     25 | 2.000e+07 2.000e+07 (J: 2.000e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       klein-b1     10 | 1.000e+07 8.551e+06 (J: 8.738e+06) 1.169429 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         mk9-b1     36 | 2.700e+07 2.700e+07 (J: 2.700e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        n2c6-b1     15 | 1.500e+07 1.500e+07 (J: 1.500e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        n3c4-b3     20 | 6.000e+06 6.000e+06 (J: 6.000e+06) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        n3c5-b4    210 | 1.000e+07 1.000e+07 (J: 1.000e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        n3c5-b6    210 | 1.000e+07 1.000e+07 (J: 1.000e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        n4c5-b1     15 | 1.500e+07 1.500e+07 (J: 1.500e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       n4c5-b11    120 | 1.200e+07 1.200e+07 (J: 1.200e+07) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          Trec3      2 | 1.000e+06 1.000e+00 (J: 1.000e+00) 1000000.395044 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          Trec4      3 | 1.332e+07 3.491e+00 (J: 3.491e+00) 3816444.771146 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          Trec5      7 | 3.019e+07 2.931e+07 (J: 4.502e+07) 1.029911 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          Trec6     15 | 2.450e+07 2.037e+07 (J: 4.349e+07) 1.202964 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          Trec8     84 | 8.417e+06 7.980e+06 (J: 5.023e+07) 1.054720 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         Trec10    478 | 2.717e+06 2.703e+06 (J: 3.618e+07) 1.005332 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   cat_ears_2_1     85 | 1.174e+07 1.105e+07 (J: 1.174e+07) 1.062088 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   cat_ears_3_1    181 | 1.238e+07 1.142e+07 (J: 1.238e+07) 1.084115 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   cat_ears_4_1    313 | 1.264e+07 1.160e+07 (J: 1.264e+07) 1.089632 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     flower_4_1    129 | 1.245e+07 1.225e+07 (J: 1.247e+07) 1.016641 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     flower_5_1    201 | 1.235e+07 1.180e+07 (J: 1.237e+07) 1.046464 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     flower_7_1    393 | 1.232e+07 1.178e+07 (J: 1.233e+07) 1.045465 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      wheel_3_1     25 | 1.104e+07 1.101e+07 (J: 1.108e+07) 1.002789 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      wheel_4_1     41 | 1.135e+07 1.125e+07 (J: 1.137e+07) 1.008869 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      wheel_5_1     61 | 1.203e+07 1.158e+07 (J: 1.204e+07) 1.038137 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      wheel_6_1     85 | 1.283e+07 1.199e+07 (J: 1.284e+07) 1.070233 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      wheel_7_1    113 | 1.373e+07 1.216e+07 (J: 1.374e+07) 1.129253 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           rel3      5 | 3.600e+07 3.200e+07 (J: 3.600e+07) 1.124926 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           rel4     12 | 2.788e+07 2.446e+07 (J: 2.677e+07) 1.139794 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           rel5     35 | 2.673e+07 2.137e+07 (J: 2.669e+07) 1.250659 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         relat3      5 | 4.800e+07 4.267e+07 (J: 4.800e+07) 1.124928 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         relat4     12 | 3.616e+07 3.287e+07 (J: 3.868e+07) 1.099917 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         relat5     35 | 2.125e+07 1.912e+07 (J: 2.560e+07) 1.111328 T: 0.000000 || -1.000(-1) -1.000 
1(L)                            D_5    115 | 1.812e+07 2.918e+06 (J: 4.093e+06) 6.210556 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           D_11    461 | 2.952e+06 2.898e+06 (J: 7.732e+06) 1.018773 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       08blocks    300 | 2.749e+07 5.771e+05 (J: 5.714e+06) 47.632678 T: 0.000000 || -1.000(-1) -1.000 
1(L)                  Trefethen_20b     19 | 9.212e+02 8.699e+00 (J: 9.290e+00) 105.904275 T: 0.000000 || -1.000(-1) -1.000 
1(L)                   Trefethen_20     20 | 3.980e+03 2.859e+01 (J: 3.175e+01) 139.214252 T: 0.000000 || -1.000(-1) -1.000 
1(L)                  Trefethen_150    150 | 5.928e+05 3.893e+01 (J: 4.359e+01) 15227.753088 T: 0.000000 || -1.000(-1) -1.000 
1(L)                 Trefethen_200b    199 | 2.723e+05 1.102e+01 (J: 1.187e+01) 24705.234955 T: 0.000000 || -1.000(-1) -1.000 
1(L)                  Trefethen_200    200 | 1.190e+06 3.893e+01 (J: 4.359e+01) 30558.407133 T: 0.000000 || -1.000(-1) -1.000 
1(L)                  Trefethen_300    300 | 3.142e+06 4.213e+01 (J: 4.722e+01) 74584.866666 T: 0.000000 || -1.000(-1) -1.000 
1(L)                  Trefethen_500    500 | 1.015e+07 4.213e+01 (J: 4.722e+01) 240865.692288 T: 0.000000 || -1.000(-1) -1.000 
2(L)                  ww_36_pmec_36     66 | 2.185e+07 6.740e+06 (J: 4.396e+07) 3.241336 T: 0.000000 || -1.000(-1) -1.000 
1(L)                        adjnoun    112 | 1.729e+07 8.146e+05 (J: 3.057e+06) 21.228493 T: 0.000000 || -1.000(-1) -1.000 
1(L)                 celegansneural    297 | 8.250e+06 1.025e+05 (J: 3.380e+05) 80.471873 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       dolphins     62 | 5.175e+07 2.008e+06 (J: 7.399e+06) 25.772696 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       football     35 | 2.949e+07 2.832e+05 (J: 6.804e+05) 104.109786 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         karate     34 | 2.262e+07 9.822e+06 (J: 2.047e+07) 2.302825 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         lesmis     77 | 1.639e+07 1.024e+05 (J: 4.294e+05) 160.097676 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       polbooks    105 | 5.187e+05 1.738e+05 (J: 2.650e+05) 2.984010 T: 0.000000 || -1.000(-1) -1.000 
2(L)                           jazz    198 | 9.052e+06 4.188e+06 (J: 6.374e+06) 2.161250 T: 0.000000 || -1.000(-1) -1.000 
1(L)             celegans_metabolic    453 | 6.408e+06 1.287e+05 (J: 3.022e+05) 49.770937 T: 0.000000 || -1.000(-1) -1.000 
2(L)                          grid1    252 | 1.534e+07 7.321e+06 (J: 1.418e+07) 2.095678 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     grid1_dual    224 | 1.519e+07 1.395e+07 (J: 1.519e+07) 1.089251 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           cage    366 | 1.508e+01 1.508e+01 (J: 1.508e+01) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
1(L)                     chesapeake     39 | 6.608e+07 8.168e+06 (J: 4.493e+07) 8.089917 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          cz148    148 | 6.113e+06 5.732e+06 (J: 5.936e+06) 1.066484 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          cz308    308 | 5.391e+07 5.059e+07 (J: 5.249e+07) 1.065700 T: 0.000000 || -1.000(-1) -1.000 
1(L)                   hangGlider_1    360 | 2.570e+07 8.973e+02 (J: 1.765e+03) 28645.700121 T: 0.000000 || -1.000(-1) -1.000 
1(L)                 orbitRaising_1    442 | 1.881e+07 9.432e+03 (J: 1.696e+04) 1994.850364 T: 0.000000 || -1.000(-1) -1.000 
3(L)                 spaceStation_1     99 | 4.896e+07 4.895e+07 (J: 4.150e+04) 1.000202 T: 0.000000 || -1.000(-1) -1.000 
2(L)                 spaceStation_2    329 | 1.259e+07 4.538e+06 (J: 1.414e+07) 2.774455 T: 0.000000 || -1.000(-1) -1.000 
2(L)                 spaceStation_3    467 | 1.721e+07 7.994e+06 (J: 1.286e+07) 2.153213 T: 0.000000 || -1.000(-1) -1.000 
1(L)        tumorAntiAngiogenesis_1    205 | 8.470e+06 8.110e+04 (J: 7.955e+05) 104.437402 T: 0.000000 || -1.000(-1) -1.000 
1(L)        tumorAntiAngiogenesis_2    305 | 3.091e+07 2.387e+00 (J: 2.789e+00) 12949937.408136 T: 0.000000 || -1.000(-1) -1.000 
3(L)        tumorAntiAngiogenesis_3    410 | 7.767e+07 7.765e+07 (J: 1.010e+00) 1.000251 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian2      2 | 1.000e+00 1.000e+00 (J: 1.000e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian3      5 | 1.047e+01 1.047e+01 (J: 1.047e+01) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian4     11 | 9.391e+01 8.476e+01 (J: 8.728e+01) 1.107978 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian5     23 | 7.641e+02 6.110e+02 (J: 6.455e+02) 1.250661 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian6     47 | 5.863e+03 4.139e+03 (J: 4.451e+03) 1.416389 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian7     95 | 4.337e+04 2.700e+04 (J: 2.937e+04) 1.606078 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   mycielskian8    191 | 3.132e+05 1.717e+05 (J: 1.882e+05) 1.824402 T: 0.000000 || -1.000(-1) -1.000 
1(L)              breasttissue_10NN    106 | 4.147e+05 4.605e+04 (J: 6.414e+04) 9.005601 T: 0.000000 || -1.000(-1) -1.000 
2(L)                dermatology_5NN    366 | 8.770e+06 1.773e+06 (J: 1.660e+06) 4.945389 T: 0.000000 || -1.000(-1) -1.000 
1(L)                     Ecoli_10NN    336 | 5.181e+06 5.434e+05 (J: 8.016e+05) 9.533107 T: 0.000000 || -1.000(-1) -1.000 
1(L)                     Glass_10NN    214 | 1.473e+07 3.134e+05 (J: 4.625e+05) 47.011281 T: 0.000000 || -1.000(-1) -1.000 
3(L)              iris_dataset_30NN    150 | 4.617e+05 2.363e+05 (J: 3.373e+05) 1.953759 T: 0.000000 || -1.000(-1) -1.000 
1(L)             Olivetti_norm_10NN    400 | 3.756e+06 6.245e+05 (J: 6.221e+05) 6.013769 T: 0.000000 || -1.000(-1) -1.000 
